"","X.1","X.1to1","X1to.1","X1","sample","shape","BetaSigma","model","segs"
"3327",0.86305137342209,0.13694862657791,0.11604145517911,0.88395854482089,10484,1,500,"sign",1
"3328",0,0,0.0625,0.9375,10484,1,500,"gaussian",1
"3329",0.939851799053356,0.0601482009466437,0.0283782898209589,0.971621710179041,10484,1,500,"sign",2
"3330",0.924050632911392,0.0759493670886076,0.28,0.72,10484,1,500,"gaussian",2
"3331",0.917783865676424,0.0822161343235763,0.058034386070501,0.941965613929499,10484,1,500,"sign",3
"3332",0.898305084745763,0.101694915254237,0.1875,0.8125,10484,1,500,"gaussian",3
"3333",0.957616152064378,0.0423838479356225,0.0699489469499664,0.930051053050034,10484,1,500,"sign",4
"3334",0.888888888888889,0.111111111111111,0.15,0.85,10484,1,500,"gaussian",4
"3335",0.882603481152241,0.117396518847759,0.0681003675891284,0.931899632410872,10484,1,500,"sign",5
"3336",0.84,0.16,0.113207547169811,0.886792452830189,10484,1,500,"gaussian",5
"3337",0.973510278577351,0.0264897214226495,0.110751953074786,0.889248046925214,10484,1,500,"sign",6
"3338",0.9,0.1,0.134615384615385,0.865384615384615,10484,1,500,"gaussian",6
"3339",0.897133935961375,0.102866064038625,0.0957853262243798,0.90421467377562,10484,1,500,"sign",7
"3340",0.861111111111111,0.138888888888889,0.192307692307692,0.807692307692308,10484,1,500,"gaussian",7
"3341",0.895908276126622,0.104091723873378,0.0498769869305662,0.950123013069434,10484,1,500,"sign",8
"3342",0.881578947368421,0.118421052631579,0.136986301369863,0.863013698630137,10484,1,500,"gaussian",8
"3343",0.866429431800871,0.133570568199129,0.0401346174630915,0.959865382536909,10484,1,500,"sign",9
"3344",0.822784810126582,0.177215189873418,0.115702479338843,0.884297520661157,10484,1,500,"gaussian",9
"3345",0.982884371055043,0.0171156289449571,0.0321430501346549,0.967856949865345,10484,1,500,"sign",10
"3346",0.964912280701754,0.0350877192982456,0.0909090909090909,0.909090909090909,10484,1,500,"gaussian",10
"3347",0.937349618760222,0.062650381239778,0.0468847665482457,0.953115233451754,10484,1,500,"sign",11
"3348",0.8,0.2,0.142857142857143,0.857142857142857,10484,1,500,"gaussian",11
"3349",0.921260478167,0.0787395218329997,0.0885434313992699,0.91145656860073,10484,1,500,"sign",12
"3350",0.888888888888889,0.111111111111111,0.16,0.84,10484,1,500,"gaussian",12
"3351",0.974325337059878,0.0256746629401223,0.0332450745116602,0.96675492548834,10484,1,500,"sign",13
"3352",1,0,0,1,10484,1,500,"gaussian",13
"3353",0.862835199116863,0.137164800883137,0.0735184283319419,0.926481571668058,10484,1,500,"sign",14
"3354",0.836065573770492,0.163934426229508,0.354838709677419,0.645161290322581,10484,1,500,"gaussian",14
"3355",0.959179069416018,0.0408209305839818,3.41619236166321e-15,0.999999999999997,10484,1,500,"sign",15
"3356",0.92,0.08,0.08,0.92,10484,1,500,"gaussian",15
"3357",0.891137126815527,0.108862873184473,0.0642369673894139,0.935763032610586,10484,1,500,"sign",16
"3358",0.839080459770115,0.160919540229885,0.185185185185185,0.814814814814815,10484,1,500,"gaussian",16
"3359",0.81456465983159,0.18543534016841,0.152214130624377,0.847785869375623,10484,1,500,"sign",17
"3360",1,0,0.111111111111111,0.888888888888889,10484,1,500,"gaussian",17
"3361",0.970522019933873,0.0294779800661267,0.00653736492522764,0.993462635074772,10484,1,500,"sign",18
