"","sample","shape","area"
"921","9544",1,283959
"922","9544",2,1656
"923","9544",3,1605
"924","9544",4,1131
"925","9544",5,882
"926","9544",6,857
"927","9544",7,784
"928","9545",1,14587
"929","9545",2,9367.5
"930","9545",3,4698
"931","9545",4,1414
"932","9546",1,21618
"933","9546",2,1340
"934","9548",1,190363
"935","9549",1,414811.5
"936","9549",2,1458.5
"937","9549",3,1253.5
"938","9550",1,388132
"939","9550",2,2406.5
"940","9550",3,2003
"941","9665",1,37572
"942","9667",1,265202
"943","9667",2,1009.5
"944","9668",1,457588
"945","9668",2,6769.5
"946","9683",1,383281.5
"947","9683",2,16155
"948","9683",3,4865
"949","9683",4,4053
"950","9683",5,3843
"951","9683",6,1463.5
"952","9683",7,1269
"953","9683",8,925.5
"954","9683",9,872.5
"955","9683",10,808.5
"956","9684",1,641493.5
"957","9684",2,1636.5
"958","9684",3,931.5
"959","9685",1,56897
"960","9685",2,48987
"961","9685",3,39998
"962","9685",4,3543.5
"963","9685",5,3017.5
"964","9685",6,2132
"965","9685",7,1415.5
"966","9685",8,997.5
"967","9689",1,53833
"968","9689",2,50237
"969","9689",3,7966.5
"970","9689",4,3923
"971","9689",5,1945
"972","9689",6,1297.5
"973","9689",7,1004
"974","9689",8,931.5
"975","9692",1,348118.5
"976","9692",2,2416
"977","9692",3,2054.5
"978","9692",4,1492
"979","9692",5,950
"980","9701",1,116757.5
"981","9701",2,1771
"982","9701",3,1116.5
"983","9706",1,176060.5
"984","9706",2,3877
"985","9706",3,3699
"986","9706",4,1796
"987","9706",5,1492
"988","9706",6,844
"989","9706",7,869.5
"990","9707",1,208572
"991","9707",2,2802
"992","9707",3,1097
"993","9723",1,56202.5
"994","9723",2,49008
"995","9723",3,2976
"996","9723",4,2809.5
"997","9732",1,102935
"998","9737",1,41181.5
"999","9737",2,1839.5
"1000","9737",3,911
"1001","9738",1,36076
"1002","9738",2,18607.5
"1003","9738",3,11434
"1004","9738",4,4369
"1005","9738",5,3638
"1006","9738",6,2555
"1007","9738",7,2167.5
