"","Re1..Intercept.","Re1.sd","sample","shape","BetaSigma","status","segs"
"536",3.231,0.846,10046,1,500,1,20
"537",-1.44,2.8,10046,1,500,-1,19
"538",5.834,1.77,10046,1,500,1,19
"539",-1.1,1.723,10046,1,500,-1,18
"540",3.295,1.3,10046,1,500,1,18
"541",-2.971,1.732,10046,1,500,-1,17
"542",5.53,2.412,10046,1,500,1,17
"543",-4.012,0.867,10046,1,500,-1,15
"544",-0.171,1.275,10046,1,500,1,15
"545",-3.027,1.147,10046,1,500,-1,14
"546",1.332,1.66,10046,1,500,1,14
"547",-3.133,1.818,10046,1,500,-1,13
"548",0.832,1.09,10046,1,500,1,13
"549",-2.871,0.52,10046,1,500,-1,12
"550",0.171,1.215,10046,1,500,1,12
"551",-1.451,0.995,10046,1,500,-1,11
"552",4.691,1.46,10046,1,500,1,11
"553",-0.422,1.755,10046,1,500,-1,10
"554",4.427,0.942,10046,1,500,1,10
"555",0.515,0.345,10046,1,500,-1,9
"556",1.825,0.452,10046,1,500,1,9
"557",-2.438,1.94,10046,1,500,-1,8
"558",3.292,2.346,10046,1,500,1,8
"559",-0.469,2.273,10046,1,500,-1,7
"560",4.728,0.91,10046,1,500,1,7
"561",-0.368,1.989,10046,1,500,-1,6
"562",5.225,1.401,10046,1,500,1,6
"563",-3.464,1.653,10046,1,500,-1,5
"564",1.293,1.526,10046,1,500,1,5
"565",-1.627,2.598,10046,1,500,-1,4
"566",5.484,2.355,10046,1,500,1,4
"567",-2.396,1.232,10046,1,500,-1,3
"568",1.555,1.214,10046,1,500,1,3
"569",-2.538,3.18,10046,1,500,-1,2
"570",0.281,0.839,10046,1,500,1,2
"571",-0.526,0.896,10046,1,500,-1,1
"572",4.67,1.918,10046,1,500,1,1
"573",-2.871,3.143,10122,1,500,-1,31
"574",5.687,2.032,10122,1,500,1,31
"575",0.343,1.145,10122,1,500,-1,30
"576",2.654,0.812,10122,1,500,1,30
"577",-1.397,0.977,10122,1,500,-1,29
"578",2.302,2.309,10122,1,500,1,29
"579",-0.271,1.476,10122,1,500,-1,28
"580",4.056,1.167,10122,1,500,1,28
"581",-1.203,0.799,10122,1,500,-1,27
"582",1.357,0.805,10122,1,500,1,27
"583",-3.332,1.169,10122,1,500,-1,26
"584",0.55,1.304,10122,1,500,1,26
"585",-0.32,1.219,10122,1,500,-1,25
"586",3.314,1.364,10122,1,500,1,25
"587",0.234,0.566,10122,1,500,-1,24
"588",2.271,0.814,10122,1,500,1,24
"589",-0.797,1.645,10122,1,500,-1,23
"590",3.211,1.104,10122,1,500,1,23
"591",-1.963,1.353,10122,1,500,-1,22
"592",1.258,3.905,10122,1,500,1,22
"593",0.802,2.337,10122,1,500,-1,21
"594",5.528,0.81,10122,1,500,1,21
"595",-5.255,1.035,10122,1,500,-1,20
"596",2.593,1.835,10122,1,500,1,20
"597",-6.171,3.569,10122,1,500,-1,19
"598",3.767,2.861,10122,1,500,1,19
