"","num","equil","pn","elapse"
"elapsed431","4","TRUE","300",15.0959999999614
"elapsed432","4","TRUE","300",13.3330000000424
"elapsed433","4","TRUE","300",13.5839999999735
"elapsed434","4","TRUE","300",13.560999999987
"elapsed435","4","TRUE","300",14.2139999999781
"elapsed436","4","TRUE","300",13.7440000000061
"elapsed437","4","TRUE","300",13.9619999999995
"elapsed438","4","TRUE","300",13.564000000013
"elapsed439","4","TRUE","300",13.7280000000028
"elapsed440","4","TRUE","300",13.8159999999916
"elapsed441","4","TRUE","300",13.3999999999651
"elapsed442","4","TRUE","300",13.2519999999786
"elapsed443","4","TRUE","300",13.3559999999707
"elapsed444","4","TRUE","300",13.8360000000102
"elapsed445","4","TRUE","300",13.710000000021
"elapsed446","4","TRUE","300",13.3510000000242
"elapsed447","4","TRUE","300",14.0469999999623
"elapsed448","4","TRUE","300",13.289999999979
"elapsed449","4","TRUE","300",13.7459999999846
"elapsed450","4","TRUE","500",40.530999999959
"elapsed451","4","TRUE","500",38.5040000000154
"elapsed452","4","TRUE","500",39.6039999999921
"elapsed453","4","TRUE","500",39.8869999999879
"elapsed454","4","TRUE","500",39.2750000000233
"elapsed455","4","TRUE","500",38.7280000000028
"elapsed456","4","TRUE","500",40.195000000007
"elapsed457","4","TRUE","500",38.8239999999641
"elapsed458","4","TRUE","500",38.3759999999893
"elapsed459","4","TRUE","500",39.0810000000056
"elapsed460","4","TRUE","500",39.7950000000419
"elapsed461","4","TRUE","500",39.4280000000144
"elapsed462","4","TRUE","500",38.5659999999916
"elapsed463","4","TRUE","500",38.536999999953
"elapsed464","4","TRUE","500",38.0789999999688
"elapsed465","4","TRUE","500",38.8939999999711
"elapsed466","4","TRUE","500",40.2149999999674
"elapsed467","4","TRUE","500",39.804999999993
"elapsed468","4","TRUE","500",39.0530000000144
"elapsed469","4","TRUE","500",38.4589999999735
"elapsed470","4","TRUE","500",37.8279999999795
"elapsed471","4","TRUE","500",40.2050000000163
"elapsed472","4","TRUE","500",39.5130000000354
"elapsed473","4","TRUE","500",40.9810000000289
"elapsed474","4","TRUE","500",40.0200000000186
"elapsed475","4","TRUE","500",38.2140000000363
"elapsed476","4","TRUE","500",38.6819999999716
"elapsed477","4","TRUE","500",39.0970000000088
"elapsed478","4","TRUE","500",40.4729999999981
"elapsed479","4","TRUE","500",39.320000000007
"elapsed480","4","TRUE","500",39.2139999999781
"elapsed481","4","TRUE","500",39.7849999999744
"elapsed482","4","TRUE","500",44.4859999999753
"elapsed483","4","TRUE","500",45.0989999999874
"elapsed484","4","TRUE","500",40.0710000000545
"elapsed485","4","TRUE","500",39.3940000000293
"elapsed486","4","TRUE","500",46.2600000000093
"elapsed487","4","TRUE","500",43.4330000000191
"elapsed488","4","TRUE","500",40.3690000000061
"elapsed489","4","TRUE","500",40.8520000000135
"elapsed490","4","TRUE","500",45.8979999999865
"elapsed491","4","TRUE","500",47.9020000000019
"elapsed492","4","TRUE","500",41.8360000000102
"elapsed493","4","TRUE","500",41.1460000000079
"elapsed494","4","TRUE","500",41.411999999953
"elapsed495","4","TRUE","500",41.2589999999618
"elapsed496","4","TRUE","500",41.0160000000033
"elapsed497","4","TRUE","500",40.9810000000289
"elapsed498","4","TRUE","500",41.3460000000196
"elapsed499","4","TRUE","500",42.125
"elapsed500","5","FALSE","100",2.08799999998882
"elapsed501","5","FALSE","100",2.24000000004889
"elapsed502","5","FALSE","100",2.93799999996554
"elapsed503","5","FALSE","100",2.3300000000163
"elapsed504","5","FALSE","100",2.05699999997159
"elapsed505","5","FALSE","100",2.0449999999837
"elapsed506","5","FALSE","100",2.00099999998929
"elapsed507","5","FALSE","100",1.85100000002421
"elapsed508","5","FALSE","100",1.74599999998463
"elapsed509","5","FALSE","100",2.10700000001816
"elapsed510","5","FALSE","100",2.36300000001211
"elapsed511","5","FALSE","100",1.78400000004331
"elapsed512","5","FALSE","100",1.88800000003539
"elapsed513","5","FALSE","100",2.02399999997579
"elapsed514","5","FALSE","100",2.01000000000931
"elapsed515","5","FALSE","100",1.99699999997392
"elapsed516","5","FALSE","100",1.90000000002328
"elapsed517","5","FALSE","100",1.90400000003865
"elapsed518","5","FALSE","100",2.02100000000792
"elapsed519","5","FALSE","100",2.01899999997113
"elapsed520","5","FALSE","100",1.89600000000792
"elapsed521","5","FALSE","100",1.78899999998976
"elapsed522","5","FALSE","100",1.64600000000792
"elapsed523","5","FALSE","100",1.93199999997159
"elapsed524","5","FALSE","100",1.85900000005495
"elapsed525","5","FALSE","100",2.0460000000312
"elapsed526","5","FALSE","100",1.89600000000792
"elapsed527","5","FALSE","100",1.92699999996694
"elapsed528","5","FALSE","100",1.77899999998044
"elapsed529","5","FALSE","100",2.0910000000149
"elapsed530","5","FALSE","100",1.73999999999069
"elapsed531","5","FALSE","100",1.9440000000177
"elapsed532","5","FALSE","100",1.81400000001304
"elapsed533","5","FALSE","100",1.78299999999581
"elapsed534","5","FALSE","100",1.82099999999627
"elapsed535","5","FALSE","100",1.83899999997811
"elapsed536","5","FALSE","100",1.79599999997299
"elapsed537","5","FALSE","100",1.76400000002468
"elapsed538","5","FALSE","100",1.92700000002515
"elapsed539","5","FALSE","100",1.88000000000466
"elapsed540","5","FALSE","100",1.89600000000792
"elapsed541","5","FALSE","100",1.95199999999022
"elapsed542","5","FALSE","100",2.13199999998324
"elapsed543","5","FALSE","100",1.77999999996973
"elapsed544","5","FALSE","100",1.70100000000093
"elapsed545","5","FALSE","100",1.81599999999162
"elapsed546","5","FALSE","100",1.83600000001024
"elapsed547","5","FALSE","100",1.7620000000461
"elapsed548","5","FALSE","100",2.12300000002142
"elapsed549","5","FALSE","100",1.99300000001676
"elapsed550","5","FALSE","150",4.38000000000466
"elapsed551","5","FALSE","150",4.31200000003446
"elapsed552","5","FALSE","150",4.04800000000978
"elapsed553","5","FALSE","150",4.57299999997485
"elapsed554","5","FALSE","150",4.21899999998277
"elapsed555","5","FALSE","150",3.73399999999674
"elapsed556","5","FALSE","150",4.04200000001583
"elapsed557","5","FALSE","150",4.27100000000792
"elapsed558","5","FALSE","150",4.90300000004936
"elapsed559","5","FALSE","150",4.12100000004284
"elapsed560","5","FALSE","150",4.62400000001071
"elapsed561","5","FALSE","150",4.01600000000326
"elapsed562","5","FALSE","150",4.13799999997718
"elapsed563","5","FALSE","150",4.26799999998184
"elapsed564","5","FALSE","150",4.13999999995576
"elapsed565","5","FALSE","150",4.44599999999627
"elapsed566","5","FALSE","150",3.89199999999255
"elapsed567","5","FALSE","150",3.99299999995856
"elapsed568","5","FALSE","150",4.30900000000838
"elapsed569","5","FALSE","150",4.27100000000792
"elapsed570","5","FALSE","150",4.04300000000512
"elapsed571","5","FALSE","150",3.98500000004424
"elapsed572","5","FALSE","150",4.01399999996647
"elapsed573","5","FALSE","150",3.8190000000177
"elapsed574","5","FALSE","150",4.12800000002608
"elapsed575","5","FALSE","150",4.30099999997765
"elapsed576","5","FALSE","150",3.87100000004284
"elapsed577","5","FALSE","150",3.94099999999162
"elapsed578","5","FALSE","150",3.93499999999767
"elapsed579","5","FALSE","150",5.13199999998324
"elapsed580","5","FALSE","150",4.45199999999022
